OBJECTID,ZIP CODE,NAME,COVID-19 CASES,COVID-19 DEATHS
742,28759,Mills River,87,1
743,28761,Nebo,159,8
744,28762,Old Fort,89,1
745,28763,Otto,28,0
746,28766,Penrose,4,0
747,28768,Pisgah Forest,76,0
748,28771,Robbinsville,128,2
749,28772,Rosman,2,0
750,28773,Saluda,58,4
751,28774,Sapphire,18,0
752,28775,Scaly Mountain,5,1
753,28777,Spruce Pine,254,3
754,28778,Swannanoa,116,1
755,28779,Sylva,186,2
756,28781,Topton,6,0
757,28782,Tryon,68,3
758,28783,Tuckasegee,32,2
759,28785,Waynesville,46,0
760,28786,Waynesville,149,1
761,28787,Weaverville,196,0
762,28789,Whittier,52,1
763,28790,Zirconia,34,0
764,28791,Hendersonville,233,10
765,28792,Hendersonville,824,41
766,28801,Asheville,179,4
767,28803,Asheville,381,8
768,28804,Asheville,152,6
769,28805,Asheville,193,11
770,28806,Asheville,701,30
771,28901,Andrews,153,4
772,28902,Brasstown,21,0
773,28904,Hayesville,97,2
774,28905,Marble,49,0
775,28906,Murphy,353,6
776,28909,Warne,8,0
777,27969,Roduco,NA,NA
778,28253,Charlotte,NA,NA
779,28608,Boone,NA,NA
780,27533,NA,NA,NA
