ZIPCODE,POP,CASES,DEATHS
28657,9610,59,0
28658,25858,511,7
28659,21013,400,6
28660,2336,37,0
28663,715,3,0
28665,2986,30,1
28667,105,9,0
28668,39,NA,NA
28669,3133,35,0
28670,3183,37,2
28672,35,NA,NA
28673,6621,69,0
28675,6805,163,0
28676,3444,46,0
28677,35614,641,7
28678,5252,51,0
28679,2122,12,0
28681,26959,331,2
28682,1099,6,0
28683,1934,20,0
28684,2175,8,1
28685,1908,18,0
28689,1662,25,0
28690,9427,142,3
28692,4504,49,0
28693,1693,15,0
28694,8033,80,0
28697,13376,302,16
28698,1844,32,0
28701,4830,21,0
28702,704,3,0
28704,21728,329,0
28705,7168,30,0
28708,1340,2,0
28709,2308,5,0
28711,15250,102,9
28712,19644,215,6
28713,9333,50,1
28714,17066,98,0
28715,27289,287,3
28716,18650,260,28
28717,1471,49,1
28718,607,4,0
28719,6945,105,3
28720,35,NA,NA
28721,10866,86,0
28722,6854,85,1
28723,11678,137,0
28725,36,NA,NA
28726,3477,92,2
28729,2978,21,0
28730,10068,58,1
28731,9271,220,7
28732,18899,154,0
28733,200,NA,NA
28734,28423,459,1
28735,294,NA,NA
28736,740,13,0
28739,21994,184,3
28740,2123,13,0
28741,3135,75,0
28742,2834,25,0
28743,2422,11,0
28745,598,9,0
28746,2583,40,0
28747,2517,8,1
28748,12684,105,4
28749,0,NA,NA
28751,3738,29,0
28752,31501,639,16
28753,12286,44,0
28754,8823,41,1
28756,4770,58,0
28757,0,NA,NA
28759,7867,87,1
28761,8493,159,8
28762,7603,89,1
28763,2864,28,0
28766,1526,4,0
28768,7895,76,0
28771,8212,128,2
28772,1942,2,0
28773,3508,58,4
28774,1569,18,0
28775,493,5,1
28777,10391,254,3
28778,10803,116,1
28779,17610,186,2
28781,957,6,0
28782,6512,68,3
28783,1905,32,2
28785,8309,46,0
28786,21837,149,1
28787,20681,196,0
28789,6551,52,1
28790,3775,34,0
28791,15811,233,10
28792,37949,824,41
28801,16782,179,4
28803,34731,381,8
28804,23302,152,6
28805,20394,193,11
28806,43841,701,30
28901,6039,153,4
28902,1562,21,0
28904,9535,97,2
28905,3548,49,0
28906,20296,353,6
28909,1068,8,0
